height,bip158_bytes
710358,14957
710359,7972
710360,9909
710361,9041
710362,37912
710363,14006
710364,4560
710365,11526
710366,11912
710367,31840
710368,7634
710369,25134
710370,4364
710371,48506
710372,26907
710373,33293
710374,26475
710375,18353
710376,20298
710377,6525
710378,30491
710379,32939
710380,30448
710381,19368
710382,3239
710383,22085
710384,18594
710385,24870
710386,28589
710387,19310
710388,21783
710389,34533
710390,16273
710391,9489
710392,21368
710393,12399
710394,5670
710395,2476
710396,11662
710397,3042
710398,34006
710399,25740
710400,17067
710401,17704
710402,37543
710403,12612
710404,38251
710405,15944
710406,33088
710407,35076
710408,31454
710409,34743
710410,17853
710411,19903
710412,15818
710413,9886
710414,23394
710415,25747
710416,19327
710417,33519
710418,27560
710419,26911
710420,20430
710421,36418
710422,37879
710423,32871
710424,32900
710425,31576
710426,25132
710427,39922
710428,39832
710429,37016
710430,37961
710431,37388
710432,34507
710433,36360
710434,28926
710435,34835
710436,18480
710437,39000
710438,35797
710439,27388
710440,39325
710441,38137
710442,33185
710443,25489
710444,33409
710445,33794
710446,36004
710447,36742
710448,33061
710449,36669
710450,34645
710451,39191
710452,25418
710453,34042
710454,28914
710455,36418
710456,37516
710457,28505
710458,38128
710459,30048
710460,30950
710461,29877
710462,40421
710463,39135
710464,27865
710465,20705
710466,31383
710467,35470
710468,29267
710469,34055
710470,40656
710471,44229
710472,36640
710473,38298
710474,38027
710475,37152
710476,34364
710477,32651
710478,29170
710479,33654
710480,32492
710481,36194
710482,24034
710483,40339
710484,36118
710485,33368
710486,35493
710487,33056
710488,28622
710489,26337
710490,28526
710491,28981
710492,30265
710493,23030
710494,21009
710495,28458
710496,4026
710497,12177
710498,1791
710499,13594
710500,1421
710501,3890
710502,5637
710503,5095
710504,35728
710505,44071
710506,45071
710507,23053
710508,25661
710509,10627
710510,28068
710511,16449
710512,7515
710513,15277
710514,13731
710515,33899
710516,26641
710517,9399
710518,3379
710519,5816
710520,6360
710521,23202
710522,30547
710523,17969
710524,5362
710525,31395
710526,36847
710527,31573
710528,22892
710529,35657
710530,23363
710531,16944
710532,23230
710533,7916
710534,2047
710535,25155
710536,38
710537,8398
710538,4956
710539,36410
710540,23252
710541,3037
710542,5412
710543,3261
710544,32246
710545,20277
710546,22253
710547,29912
710548,1711
710549,7111
710550,5471
710551,18193
710552,671
710553,437
710554,14798
710555,9251
710556,3280
710557,6992
710558,25477
710559,36409
710560,26017
710561,35215
710562,17756
710563,12566
710564,11717
710565,28450
710566,36568
710567,23856
710568,848
710569,36996
710570,25155
710571,35457
710572,31134
710573,46457
710574,36221
710575,38525
710576,33474
710577,23284
710578,29248
710579,33201
710580,36945
710581,37882
710582,34406
710583,23883
710584,31134
710585,35320
710586,21747
710587,39238
710588,30236
710589,28858
710590,9299
710591,36549
710592,11366
710593,19314
710594,34022
710595,39938
710596,35967
710597,40669
710598,35112
710599,26095
710600,38045
710601,32358
710602,38925
710603,20072
710604,30384
710605,41747
710606,23992
710607,9239
710608,4733
710609,6034
710610,28377
710611,32953
710612,934
710613,36482
710614,23765
710615,40322
710616,38240
710617,22885
710618,29701
710619,26638
710620,12986
710621,32046
710622,7454
710623,35870
710624,28039
710625,27060
710626,10019
710627,20797
710628,37937
710629,23791
710630,32553
710631,21176
710632,24059
710633,16890
710634,32693
710635,17086
710636,6705
710637,24716
710638,8703
710639,7581
710640,1963
710641,43412
710642,37985
710643,32229
710644,44983
710645,18448
710646,27987
710647,11070
710648,8101
710649,12149
710650,36133
710651,18247
710652,5912
710653,11733
710654,1301
710655,35250
710656,18517
710657,16692
710658,6610
710659,27695
710660,11589
710661,10538
710662,2991
710663,18843
710664,17258
710665,11206
710666,14216
710667,33625
710668,965
710669,33211
710670,36298
710671,22328
710672,31182
710673,13708
710674,1692
710675,12193
710676,30726
710677,6086
710678,17763
710679,7218
710680,2507
710681,13422
710682,29901
710683,28877
710684,3304
710685,23698
710686,17245
710687,5025
710688,495
710689,25318
710690,38
710691,1126
710692,3151
710693,5047
710694,9023
710695,3078
710696,5936
710697,33906
710698,25724
710699,37420
710700,38829
710701,34303
710702,28869
710703,44687
710704,34848
710705,33430
710706,36708
710707,42829
710708,35800
710709,33850
710710,38889
710711,39695
710712,37332
710713,31112
710714,35193
710715,26063
710716,20632
710717,38229
710718,28071
710719,29210
710720,35927
710721,26656
710722,41565
710723,34638
710724,36651
710725,27125
710726,37248
710727,27754
710728,29058
710729,32920
710730,35324
710731,26384
710732,32037
710733,30068
710734,30312
710735,28127
710736,31661
710737,38900
710738,35077
710739,36652
710740,26698
710741,28461
710742,36734
710743,35639
710744,36011
710745,24096
710746,30594
710747,32153
710748,34510
710749,23884
710750,27521
710751,37135
710752,32420
710753,41002
710754,33480
710755,32231
710756,28385
710757,30264
710758,25656
710759,2683
710760,17625
710761,23373
710762,38430
710763,13106
710764,4149
710765,9339
710766,15547
710767,3471
710768,31117
710769,1682
710770,1066
710771,15976
710772,5993
710773,2966
710774,3004
710775,1890
710776,10856
710777,36382
710778,38162
710779,33498
710780,25450
710781,37185
710782,16887
710783,6236
710784,8088
710785,22576
710786,10540
710787,38
710788,22617
710789,37896
710790,24371
710791,22762
710792,20967
710793,13370
710794,3059
710795,16647
710796,25821
710797,21635
710798,13405
710799,26612
710800,13613
710801,14936
710802,13566
710803,31804
710804,13672
710805,25903
710806,29057
710807,27084
710808,34510
710809,30422
710810,26157
710811,30651
710812,33827
710813,34486
710814,33156
710815,30216
710816,20469
710817,32276
710818,22957
710819,34942
710820,32133
710821,22474
710822,38
710823,27970
710824,25491
710825,28830
710826,17780
710827,18888
710828,24406
710829,10153
710830,27663
710831,4981
710832,18548
710833,26511
710834,33146
710835,34298
710836,23429
710837,14324
710838,28586
710839,27785
710840,11430
710841,24632
710842,33204
710843,40686
710844,30518
710845,37331
710846,44694
710847,37606
710848,30539
710849,31601
710850,29918
710851,32524
710852,30850
710853,33501
710854,33848
710855,38524
710856,36843
710857,30830
710858,38512
710859,34238
710860,37979
710861,35418
710862,32570
710863,26877
710864,28827
710865,33657
710866,34309
710867,36671
710868,37337
710869,34932
710870,32863
710871,35865
710872,38
710873,36515
710874,36077
710875,38224
710876,29718
710877,36345
710878,32012
710879,35621
710880,34394
710881,33160
710882,32343
710883,38120
710884,34972
710885,37789
710886,40785
710887,33985
710888,35260
710889,36604
710890,31961
710891,35288
710892,17526
710893,22749
710894,26985
710895,11617
710896,32608
710897,18698
710898,25808
710899,2274
710900,26415
710901,39890
710902,39112
710903,34320
710904,36961
710905,33065
710906,35966
710907,28555
710908,38356
710909,34964
710910,29317
710911,10542
710912,664
710913,30465
710914,25458
710915,35285
710916,4606
710917,11953
710918,2900
710919,3267
710920,3216
710921,18687
710922,34712
710923,41840
710924,36840
710925,35907
710926,27340
710927,10394
710928,33550
710929,30721
710930,31753
710931,28310
710932,15456
710933,5139
710934,8438
710935,3892
710936,31383
710937,13223
710938,33368
710939,27406
710940,2992
710941,32661
710942,18009
710943,22774
710944,27165
710945,33044
710946,18467
710947,10830
710948,19161
710949,7125
710950,32008
710951,1339
710952,30900
710953,2848
710954,30456
710955,32933
710956,33019
710957,7455
710958,18346
710959,1810
710960,4921
710961,26744
710962,1543
710963,26958
710964,11155
710965,11115
710966,11838
710967,1033
710968,12056
710969,33250
710970,34785
710971,33483
710972,30833
710973,22191
710974,2053
710975,35959
710976,27320
710977,34586
710978,35098
710979,37269
710980,39864
710981,29611
710982,37691
710983,21313
710984,35825
710985,25608
710986,33024
710987,37076
710988,35738
